Method,NDCG@20
"MF(64)",0.04938
"UltraGCN_s(64)",0
"LightGCN(64)",0.0524
"UltraGCN(64)",0
"MLP+MF(64->256)",0.0493
"NGCF(64->256)",0.0484
"MF(256)",0.0522
